line;from_id;to_id;weight;off_peak;am_peak;inter_peak
8;53;214;4.38;4.07;4.5;4.58
8;214;168;4.26;3.78;4.5;4.5
8;280;62;3.07;3.22;3;3
8;62;168;4.14;4.42;4;4
8;168;179;2.96;2.87;3;3
8;179;180;2.4;2.2;2.5;2.5
8;180;199;2.49;2.48;2.5;2.5
8;199;184;2.48;2.08;2.85;2.5
8;184;115;4.05;3.08;4.57;4.49
8;168;115;9.87;9.62;10;10
8;271;125;3;3;3;3
8;125;134;1.91;1.73;2;2
8;134;220;2.48;2.45;2.5;2.5
8;220;222;1.48;1.45;1.5;1.5
8;222;75;1.94;1.82;2;2
8;75;210;2.78;2.33;3;3
8;210;291;2.03;2.08;2;2
8;291;115;3.33;2.15;3.85;4
8;115;94;11.05;10.15;11.5;11.5
8;115;178;1.97;1.9;2;2
8;178;202;2.13;2.05;2.35;2
8;202;282;2.35;1.98;2.55;2.53
8;282;94;7.28;7;7.32;7.52
8;94;11;6.55;6.13;7.11;6.4
8;11;104;1.99;1.98;2;2
8;104;90;1.42;1.25;1.5;1.5
8;90;145;1.92;1.75;2;2
8;145;92;3.33;2.98;3.5;3.5
8;92;14;1.41;1.22;1.5;1.5
8;14;167;1.44;1.32;1.5;1.5
8;167;156;1.57;1.18;1.99;1.53
8;156;2;2.13;2.18;2.01;2.2
9;81;38;2.48;2.43;2.5;2.5
9;38;58;2.33;1.98;2.5;2.5
9;58;119;2.94;2.83;3;3
9;119;34;1.91;1.73;2;2
9;34;100;3.08;2.57;3.03;3.64
9;100;111;3.47;3.42;3.5;3.5
9;111;22;1.94;1.82;2;2
9;22;47;1.92;1.77;2;2
9;47;40;2.24;1.53;2.62;2.56
9;121;261;3.56;3.67;3.5;3.5
9;261;302;2.41;2.23;2.5;2.5
9;302;288;1.57;1.7;1.5;1.5
9;288;93;2.57;2.08;3.13;2.51
9;165;93;3.01;2.75;3.27;3
9;93;77;3.46;3.37;3.5;3.5
9;77;124;3;3;3;3
9;124;8;2.93;2.8;3;3
9;8;264;1.53;1.6;1.5;1.5
9;264;139;1.47;1.42;1.5;1.5
9;139;40;2.7;1.93;3.08;3.08
9;40;170;1.54;1.63;1.5;1.5
9;170;89;1.84;1.52;2;2
9;89;277;1.39;1.18;1.5;1.5
9;277;102;1.36;1.07;1.5;1.5
9;102;259;1.52;1.32;1.73;1.5
9;259;151;0.99;0.98;1;1
9;151;49;1.56;1.2;1.99;1.5
9;49;87;0.93;0.8;1;1
9;87;279;1.46;1.37;1.5;1.5
9;279;136;3.44;2.97;3.96;3.4
9;40;89;3.33;2.95;3.5;3.55
9;89;145;1.51;1.53;1.5;1.5
9;145;7;2.39;2.18;2.5;2.5
9;7;188;2.96;2.87;3;3
9;188;167;1.63;1.37;2;1.51
9;167;13;1.97;1.9;2;2
9;13;157;1.93;1.55;2.25;2
9;157;29;1.48;1.45;1.5;1.5
9;29;84;1.91;1.72;2;2
9;84;136;2.83;2.03;3;3.47
9;136;191;1.86;1.58;2;2
9;191;245;2.4;2.2;2.5;2.5
9;245;55;1.52;1.55;1.5;1.5
9;55;54;1.47;1.4;1.5;1.5
9;54;56;2.33;2;2.5;2.5
9;56;12;1.96;1.88;2;2
9;12;257;1.89;1.67;2;2
9;257;258;1.92;1.77;2;2
9;258;59;1.99;1.98;2;2
9;59;240;1.96;1.88;2;2
9;240;169;3.35;2.95;3.55;3.56
9;169;240;2.45;2.35;2.5;2.5
9;240;59;1.95;1.85;2;2
9;59;258;1.99;1.97;2;2
9;258;257;1.96;1.88;2;2
9;257;12;1.88;1.65;2;2
9;12;56;1.93;1.8;2;2
9;56;54;2.4;2.2;2.5;2.5
9;54;55;1.53;1.32;1.76;1.5
9;55;245;2.07;1.72;2.49;2
9;245;191;2.34;2.03;2.5;2.5
9;191;136;2.47;1.7;2.81;2.91
9;136;84;1.93;1.8;2;2
9;84;29;1.92;1.75;2;2
9;29;157;1.47;1.4;1.5;1.5
9;157;13;1.96;1.53;2.34;2
9;13;167;2.09;1.77;2.5;2.01
9;167;188;1.48;1.45;1.5;1.5
9;188;7;2.48;2.43;2.5;2.5
9;7;145;2.38;2.15;2.5;2.5
9;145;89;1.51;1.33;1.68;1.52
9;89;40;4.11;3.88;4.42;4.02
9;136;279;2.92;2.77;3;3
9;279;87;1.8;1.4;2;2
9;87;49;1.04;0.87;1.26;1
9;49;151;1.39;1.17;1.5;1.5
9;151;259;1.34;1.03;1.5;1.5
9;259;102;1.43;1.28;1.5;1.5
9;102;277;1.36;1.07;1.5;1.5
9;277;89;1.39;1.18;1.5;1.5
9;89;170;1.51;1.53;1.51;1.5
9;170;40;2.28;1.8;2.99;2.04
9;40;139;1.98;1.95;2;2
9;139;264;1.53;1.58;1.5;1.5
9;264;8;1.89;1.68;2;2
9;8;124;2.92;2.75;3;3
9;124;77;2.88;2.62;3.02;3
9;77;93;3.88;3.1;4.28;4.26
9;93;165;2.66;2.98;2.5;2.5
9;93;288;2.03;2.1;2;2
9;288;302;1.85;1.55;2;2
9;302;261;2.41;2.23;2.5;2.5
9;261;121;4.65;4.62;4.83;4.5
9;40;47;1.52;1.55;1.5;1.5
9;47;22;1.97;1.9;2;2
9;22;111;2.34;2.02;2.5;2.5
9;111;100;4.76;3.95;4.97;5.36
9;100;34;2.41;2.22;2.5;2.5
9;34;119;1.94;1.83;2;2
9;119;58;2.89;2.67;3;3
9;58;38;2.02;2.07;2;2
9;38;81;3.64;3.37;3.94;3.6
10;271;125;3;3;3;3
10;125;134;1.87;1.6;2;2
10;134;220;2.43;2.3;2.5;2.5
10;220;222;1.43;1.3;1.5;1.5
10;222;75;1.89;1.67;2;2
10;75;210;3.18;2.23;3.35;3.95
10;210;235;3.59;2.58;3.74;4.46
10;235;251;1.95;1.85;2;2
10;251;252;2.34;2.03;2.5;2.5
10;252;5;2.32;1.95;2.5;2.5
10;5;194;2.4;2.2;2.5;2.5
10;194;182;2.02;1.52;2.5;2.03
10;182;73;2.22;1.65;2.5;2.5
10;73;1;2.77;1.83;3.04;3.45
10;117;116;3.71;2.63;4.43;4.08
10;116;132;3.42;3.25;3.5;3.5
10;132;130;2.33;1.98;2.5;2.5
10;130;131;1.43;1.3;1.5;1.5
10;131;190;1.84;1.53;2;2
10;190;30;2.95;2.85;3;3
10;30;176;3.27;1.98;4.46;3.38
10;176;234;1.33;0.98;1.5;1.5
10;234;1;3.77;2.93;4.11;4.28
10;1;110;5.73;5.65;6;5.53
10;110;17;1.79;1.38;2;2
10;17;74;2.85;2.55;3;3
10;74;99;1.46;1.37;1.5;1.5
10;99;236;1.43;1.28;1.5;1.5
10;236;146;2.83;2.48;3;3
10;146;133;1.37;1.1;1.5;1.5
10;133;107;1.92;1.73;2;2.02
10;107;197;1.37;1.1;1.5;1.5
10;197;151;1.39;1.17;1.5;1.5
10;151;60;0.93;0.77;1;1.01
10;60;126;1.47;1.4;1.5;1.5
10;126;223;1.85;1.55;2;2
10;223;145;2.14;1.9;2.47;2.05
10;145;39;3.29;2.88;3.5;3.5
10;39;128;1.39;1.18;1.5;1.5
10;128;10;1.43;1.28;1.5;1.5
10;10;95;1.46;1.38;1.5;1.5
10;95;160;1.85;1.55;2;2
10;160;266;2.96;2.88;3;3
10;266;303;1.86;1.57;2;2.02
10;303;31;2.41;2.23;2.5;2.5
10;31;9;3.37;2.58;3.62;3.91
10;9;232;2.61;2.8;2.52;2.51
10;232;187;3.3;2.48;3.9;3.51
10;187;57;2.97;2.83;3;3.09
10;57;187;2.44;2.27;2.6;2.45
